"Date","Time","Open","High","Low","Close","Vol","OI"
08/31/2020,16:00,34630,34810,34600,34730,4865,8266
09/01/2020,16:00,34650,35095,34520,34970,8919,8739
09/02/2020,16:00,35030,35070,34060,34355,17210,7528
09/03/2020,16:00,34335,34425,33355,33615,15668,6348
09/04/2020,16:00,33675,33680,32800,33515,15598,6589
09/08/2020,16:00,33320,33370,32785,32910,14549,5966
09/09/2020,16:00,32955,33280,32745,33215,5218,5947
09/10/2020,16:00,33180,33460,33110,33210,7860,7063
09/11/2020,16:00,33265,33315,33110,33235,4819,6472
09/14/2020,16:00,33210,33700,33165,33600,6525,7058
09/15/2020,16:00,33645,33870,33540,33710,4052,6775
09/16/2020,16:00,33785,34045,33585,33910,7056,6894
09/17/2020,16:00,33940,33970,33650,33845,7179,6430
09/18/2020,16:00,33870,33970,33710,33775,4499,6380
09/21/2020,16:00,33780,33900,33160,33380,12875,5595
09/22/2020,16:00,33380,33420,33245,33390,4081,4946
09/23/2020,16:00,33440,33445,33035,33175,3309,3408
09/24/2020,16:00,33160,33645,33090,33555,4089,4417
09/25/2020,16:00,33560,33725,33435,33655,6120,5264
09/28/2020,16:00,33630,33910,33625,33790,4100,5611
09/29/2020,16:00,33800,33820,33510,33645,4764,5270
09/30/2020,16:00,33680,33770,33555,33600,5671,5426
10/01/2020,16:00,33665,33890,33260,33475,11708,5041
10/02/2020,16:00,33445,33535,33240,33380,5867,4485
10/05/2020,16:00,33530,33695,33500,33645,4462,5254
10/06/2020,16:00,33645,33720,33395,33460,4093,5393
10/07/2020,16:00,33430,33590,33425,33550,2260,5467
10/08/2020,16:00,33565,33895,33410,33785,5066,6188
10/09/2020,16:00,33780,34035,33740,33940,3469,6312
10/12/2020,16:00,34190,34530,34110,34460,6338,7285
10/13/2020,16:00,34590,34635,34185,34270,4170,6843
10/14/2020,16:00,34330,34460,34170,34240,3466,6950
10/15/2020,16:00,34270,34525,34145,34425,3418,7108
10/16/2020,16:00,34440,34440,34055,34190,5373,6475
10/19/2020,16:00,34335,34740,34300,34585,6876,7925
10/20/2020,16:00,34625,34940,34570,34800,4060,8105
10/21/2020,16:00,34825,35835,34790,35585,10223,8699
10/22/2020,16:00,35795,36115,35555,35985,3793,7929
10/23/2020,16:00,36050,36090,35605,35800,3793,7928
